region;statistic
Башкортостан;100,6
Марий Эл;100
Мордовия;101,3
Татарстан;101,8
Удмуртия;101,3
Чувашия;104,1
Пермский край;101,9
Кировская область;101,2
Нижегородская область;102,5
Оренбургская область;99,9
Пензенская область;100,1
Самарская область;99,7
Саратовская область;100,9
Ульяновская область;98,6
